product,batch,reg,reg_lookup,server_lookup,key,value
ve9,dfve,us-west-2,us,nondb,maintwindow-dfve-ve9,rebootgroup2-nondb
ve10,dfve,us-east-1,us,db,maintwindow-dfve-ve10,rebootgroup1-dbonly
ve10,dfve,us-east-1,us,nondb,maintwindow-dfve-ve10,rebootgroup2-nondb
ve10,dfve,us-west-2,us,db,maintwindow-dfve-ve10,rebootgroup1-dbonly
ve10,dfve,us-west-2,us,nondb,maintwindow-dfve-ve10,rebootgroup2-nondb
ve11,dfve,us-east-1,us,db,maintwindow-dfve-ve11,rebootgroup1-dbonly
ve11,dfve,us-east-1,us,nondb,maintwindow-dfve-ve11,rebootgroup2-nondb
ve11,dfve,us-west-2,us,db,maintwindow-dfve-ve11,rebootgroup1-dbonly
ve11,dfve,us-west-2,us,nondb,maintwindow-dfve-ve11,rebootgroup2-nondb
ve13,dfve,us-east-1,us,db,maintwindow-dfve-ve13,rebootgroup1-dbonly
ve13,dfve,us-east-1,us,nondb,maintwindow-dfve-ve13,rebootgroup2-nondb
ve13,dfve,us-west-2,us,db,maintwindow-dfve-ve13,rebootgroup1-dbonly
ve13,dfve,us-west-2,us,nondb,maintwindow-dfve-ve13,rebootgroup2-nondb
ve12,dfve,eu-west-1,eu,db,maintwindow-dfve-ve12,rebootgroup1-dbonly
ve12,dfve,eu-west-1,eu,nondb,maintwindow-dfve-ve12,rebootgroup2-nondb
ve12,dfve,eu-central-1,eu,db,maintwindow-dfve-ve12,rebootgroup1-dbonly
ve12,dfve,eu-central-1,eu,nondb,maintwindow-dfve-ve12,rebootgroup2-nondb
ve14,dfve,ca-central-1,ca,db,maintwindow-dfve-ve14,rebootgroup1-dbonly
ve14,dfve,ca-central-1,ca,nondb,maintwindow-dfve-ve14,rebootgroup2-nondb
ve15,dfve,us-east-1,us,db,maintwindow-dfve-ve15,rebootgroup1-dbonly
ve15,dfve,us-east-1,us,nondb,maintwindow-dfve-ve15,rebootgroup2-nondb
ve15,dfve,us-west-2,us,db,maintwindow-dfve-ve15,rebootgroup1-dbonly
ve15,dfve,us-west-2,us,nondb,maintwindow-dfve-ve15,rebootgroup2-nondb
ve16,dfve,us-east-1,us,db,maintwindow-dfve-ve16,rebootgroup1-dbonly
ve16,dfve,us-east-1,us,nondb,maintwindow-dfve-ve16,rebootgroup2-nondb
ve16,dfve,us-west-2,us,db,maintwindow-dfve-ve16,rebootgroup1-dbonly
ve16,dfve,us-west-2,us,nondb,maintwindow-dfve-ve16,rebootgroup2-nondb
ve17,dfve,us-east-1,us,db,maintwindow-dfve-ve17,rebootgroup1-dbonly
ve17,dfve,us-east-1,us,nondb,maintwindow-dfve-ve17,rebootgroup2-nondb
ve17,dfve,us-west-2,us,db,maintwindow-dfve-ve17,rebootgroup1-dbonly
ve17,dfve,us-west-2,us,nondb,maintwindow-dfve-ve17,rebootgroup2-nondb
ve18,dfve,us-east-1,us,db,maintwindow-dfve-ve18,rebootgroup1-dbonly
ve18,dfve,us-east-1,us,nondb,maintwindow-dfve-ve18,rebootgroup2-nondb
ve18,dfve,us-west-2,us,db,maintwindow-dfve-ve18,rebootgroup1-dbonly
ve18,dfve,us-west-2,us,nondb,maintwindow-dfve-ve18,rebootgroup2-nondb
ve19,dfve,us-east-1,us,db,maintwindow-dfve-ve19,rebootgroup1-dbonly
ve19,dfve,us-east-1,us,nondb,maintwindow-dfve-ve19,rebootgroup2-nondb
ve19,dfve,us-west-2,us,db,maintwindow-dfve-ve19,rebootgroup1-dbonly
ve19,dfve,us-west-2,us,nondb,maintwindow-dfve-ve19,rebootgroup2-nondb
ve20,dfve,us-east-1,us,db,maintwindow-dfve-ve20,rebootgroup1-dbonly
ve20,dfve,us-east-1,us,nondb,maintwindow-dfve-ve20,rebootgroup2-nondb
ve20,dfve,us-west-2,us,db,maintwindow-dfve-ve20,rebootgroup1-dbonly
ve20,dfve,us-west-2,us,nondb,maintwindow-dfve-ve20,rebootgroup2-nondb
vt0,dfve,us-east-1,us,db,maintwindow-vantage-vt0,rebootgroup1-dbonly
